round,model,score,rank
36,apex1.1,0.182196237,17
36,iamp-ca2l,0.0698477375,18
37,AMPsorter,0.8216763136,1
37,amplify_imb,0.8061317148,2
37,pepnet_standard,0.7222940545,3
37,esm-AxP-GDL,0.7097360609,4
37,HMD-AMP,0.6846535616,5
37,C_AMPs-predict,0.6671533096,6
37,pepnet_fast,0.6472654195,7
37,amplify_bal,0.5741665191,8
37,iampcn,0.4976859442,9
37,macrel,0.4930618751,10
37,lstm,0.4601201465,11
37,ai4amp,0.4080048879,12
37,amPEPpy,0.4077820214,13
37,apin,0.3330571045,14
37,apex1.1,0.2847885176,15
37,ascan2,0.2742218004,16
37,ampir,0.1980187767,17
37,iamp-ca2l,0.0101819721,18
38,C_AMPs-predict,0.7669050108,1
38,amplify_bal,0.7381176317,2
38,pepnet_standard,0.7271018501,3
38,pepnet_fast,0.6703648555,4
38,amplify_imb,0.6535319801,5
38,macrel,0.5804203145,6
38,AMPsorter,0.5624098901,7
38,HMD-AMP,0.5517257002,8
38,ascan2,0.4968764982,9
38,esm-AxP-GDL,0.4964182822,10
38,amPEPpy,0.46373487,11
38,ai4amp,0.460196465,12
38,lstm,0.4195043725,13
38,apin,0.3988016073,14
38,apex1.1,0.340982554,15
38,ampir,0.3274211207,16
38,iampcn,0.3151341946,17
38,iamp-ca2l,0.0303528024,18
39,amplify_imb,0.7830663468,1
39,C_AMPs-predict,0.7552887761,2
39,AMPsorter,0.749837751,3
39,pepnet_fast,0.7118657044,4
39,pepnet_standard,0.707745112,5
39,esm-AxP-GDL,0.6807477463,6
39,amplify_bal,0.6713883307,7
39,HMD-AMP,0.5538428013,8
39,macrel,0.4910122704,9
39,amPEPpy,0.4770732096,10
39,lstm,0.432841128,11
39,iampcn,0.4218605064,12
39,ai4amp,0.4030908819,13
39,apex1.1,0.3513967374,14
39,apin,0.3018498143,15
39,ascan2,0.2803182008,16
39,ampir,0.2163548216,17
39,iamp-ca2l,0.0104198608,18
40,amplify_imb,0.7833030475,1
40,C_AMPs-predict,0.7553597606,2
40,AMPsorter,0.7498037504,3
40,pepnet_fast,0.7119278851,4
40,pepnet_standard,0.7078164637,5
40,esm-AxP-GDL,0.6809917464,6
40,amplify_bal,0.6714957128,7
40,HMD-AMP,0.553934093,8
40,macrel,0.4908633995,9
40,amPEPpy,0.4770652019,10
40,lstm,0.432864724,11
40,iampcn,0.4222288375,12
40,ai4amp,0.4030063418,13
40,apex1.1,0.3506552051,14
40,apin,0.3018126743,15
40,ascan2,0.2801892358,16
40,ampir,0.2162748484,17
40,iamp-ca2l,0.0104070722,18
41,AMPsorter,0.8942096582,1
41,amplify_imb,0.8304741274,2
41,HMD-AMP,0.8160057505,3
41,esm-AxP-GDL,0.7395568388,4
41,pepnet_standard,0.7373483337,5
41,pepnet_fast,0.5831699291,6
41,C_AMPs-predict,0.5792112133,7
41,iampcn,0.5761529141,8
41,macrel,0.4941598762,9
41,lstm,0.4877392656,10
41,amplify_bal,0.477543383,11
41,ai4amp,0.4119532315,12
41,apin,0.3641916302,13
41,amPEPpy,0.337594248,14
41,ascan2,0.2676722626,15
41,apex1.1,0.2137848367,16
41,ampir,0.1793014308,17
41,iamp-ca2l,0.0099310703,18
42,HMD-AMP,0.814122399,1
42,pepnet_standard,0.7567416453,2
42,AMPsorter,0.7065419567,3
42,amplify_imb,0.7006440501,4
