rank,combo,median_score,mean_score,score_iqr,median_rank,mean_rank,top3_frequency,mean_AUPRC,mean_MCC,mean_Precision,mean_Recall,worst_dataset_AUPRC,worst_dataset_MCC
265,amplify_imb + apex1.1 + ascan2,0.5978656423549836,0.582453109427206,0.11046345726562501,265.0,298.18,0.0,0.8968765236585844,0.7759131699152929,0.8105926120097372,0.8500761789214536,0.795275554309385,0.6812010139938185
266,amPEPpy + amplify_imb + lstm,0.5976952102144607,0.6086724100239788,0.13254523713950161,266.0,270.24,0.0,0.9431958046548129,0.7190040770463167,0.6981210951352327,0.9350716186031555,0.9084963005706167,0.6196273327037558
267,AMPsorter + HMD-AMP + lstm,0.595981591317402,0.6172077037547794,0.11939377700622944,267.0,257.44,0.0,0.9020852308648676,0.6812108980071695,0.6691178735350986,0.9036749333842929,0.7693197746803915,0.39913974272510405
268,ai4amp + AMPsorter + macrel,0.5952981241605392,0.5976482914292075,0.012935135752655258,276.5,278.92,0.0,0.9148326543189117,0.7619599106133522,0.8218140181135043,0.8201216479243825,0.81629779701286,0.6586162825605953
269,ampir + C_AMPs-predict + macrel,0.5946450627093546,0.5746105834473447,0.10668120027726713,269.0,307.66,0.0,0.932949832838936,0.8141138828321687,0.9307047395724748,0.8077346994882618,0.8981988003908186,0.6817823908354317
270,amplify_bal + apin + HMD-AMP,0.5935048741176471,0.5932810320136438,0.13099441464409722,270.0,286.28,0.0,0.9170258100248655,0.6767476457417265,0.6709894759514045,0.8850440359455377,0.8457810340199026,0.3973466709644721
271,ai4amp + ascan2 + pepnet_standard,0.5933999042575572,0.5817620148094771,0.16756618490502462,271.0,307.38,0.0,0.8906043124671958,0.6875720244522721,0.6843467956713014,0.8799420558591559,0.7894106543475893,0.40889790608616716
272,amPEPpy + ascan2 + HMD-AMP,0.593002269129902,0.5880132445081699,0.17575034782730803,272.0,296.8,0.0,0.9042579171150683,0.6670006149273383,0.6490667052356289,0.9025256552621558,0.805896460265372,0.35830852689522324
273,ampir + amplify_bal + C_AMPs-predict,0.5923196940359476,0.5734629002401961,0.10215748524305557,273.0,310.52,0.0,0.9257941983889245,0.7559328126025205,0.7960245540735938,0.8478146563717383,0.8827005101007775,0.6832856167717476
274,amplify_bal + AMPsorter + apin,0.5922559732557189,0.5990174890071487,0.03554038911764712,274.0,277.44,0.0,0.9039812946283178,0.7382561699589963,0.754125387137163,0.8671253301568731,0.803146493774211,0.5903888150337964
275,ai4amp + iampcn + pepnet_standard,0.5916288140727124,0.6079978270207925,0.08475143973396648,275.0,269.52,0.0,0.9287659155409985,0.6948985725909919,0.6755028765607144,0.9116290071592271,0.8455607870486356,0.44873455456895783
276,ai4amp + AMPsorter + pepnet_fast,0.5911000394056373,0.5968465035178105,0.06238581124999998,276.0,284.58,0.0,0.9118382528115146,0.7545520576328708,0.790604475560771,0.8560077293481569,0.8228026375516537,0.6699441453717578
277,ampir + AMPsorter + macrel,0.5910191583813318,0.5995507700631127,0.04940170763020835,276.0,278.4,0.0,0.9134704928601884,0.7697922548250077,0.8006263725908376,0.8566175748023134,0.8232399687740772,0.649668697904806
278,amPEPpy + amplify_bal + lstm,0.5903462717953432,0.5854590297177696,0.07341592481617643,281.0,298.88,0.0,0.9266358179932688,0.7208107103620794,0.7072793338198186,0.9145276901820095,0.8855045337232871,0.6179303725940084
279,amplify_imb + iampcn + pepnet_standard,0.5902160886448121,0.6080914405680964,0.14636311668964463,279.0,273.98,0.0,0.9487646943175974,0.6712829024536525,0.64346198796659,0.9488347162174845,0.8916773024622692,0.561078251984426
280,ampir + amplify_imb + pepnet_standard,0.5901933929084966,0.5940739902426062,0.02871879710835379,280.0,287.82,0.0,0.9260797019291688,0.7178920390584155,0.7091836734693877,0.8970412519258625,0.8668388609432248,0.5682215812220963
281,ai4amp + C_AMPs-predict + HMD-AMP,0.5899694329084967,0.5845174295305964,0.058150059420955746,281.0,299.04,0.0,0.9283372674922269,0.7201255245637617,0.763005918775305,0.8289586394315785,0.8694835229983091,0.5533597198350589
282,ampir + HMD-AMP + pepnet_standard,0.5890658339215686,0.5943638637903187,0.12608912446997544,282.0,287.04,0.0,0.9106250013482908,0.6789758123532453,0.6715010013748467,0.8886783459581613,0.8212011316070248,0.384162168269005
283,amPEPpy + amplify_imb + ascan2,0.5884013809507762,0.5822793027966912,0.04259536068269998,283.5,303.04,0.0,0.9125756417326313,0.7140148454328724,0.696751155868081,0.9051661455647254,0.8363363935495419,0.5604261113693451
284,C_AMPs-predict + HMD-AMP + lstm,0.5882421810886438,0.5909505529653186,0.03439488843290461,284.0,290.2,0.0,0.9381603628190378,0.6818492932403547,0.6979492816354712,0.8628999324843486,0.8951361878364764,0.44095952813629075
285,amplify_bal + apex1.1 + pepnet_standard,0.5876090364838644,0.5637470615101308,0.1270447215737336,285.0,326.46,0.0,0.920907485846183,0.777185773600312,0.8517926098420951,0.8155321274297863,0.8614159607270008,0.6636941304954656
286,amplify_imb + macrel + pepnet_fast,0.5873376489225899,0.5885708369559641,0.08686763443831691,287.0,296.16,0.0,0.9348793418015809,0.7313010357924578,0.7493996745217605,0.8754829944457393,0.8853343477296365,0.6522609580280676
287,ascan2 + HMD-AMP + macrel,0.5872686281219363,0.5841012256628677,0.2199497972947303,286.5,307.86,0.04,0.8873630755541458,0.6671674432793481,0.6646024238257248,0.8812796895910401,0.7527290951494814,0.329863537500299
288,amplify_bal + C_AMPs-predict + pepnet_fast,0.5853536836100899,0.5663831233622549,0.1210777554580269,289.0,322.36,0.0,0.9333536851427898,0.743399190848696,0.7798434984720638,0.8526058610279881,0.9024893536909886,0.666584216596025
289,amPEPpy + esm-AxP-GDL + pepnet_fast,0.5853027427961601,0.5909363812814543,0.17915468085631125,289.5,297.74,0.0,0.9563581980952228,0.6966220412682381,0.6904329679159517,0.9268233528983721,0.9403085965713766,0.6616870837551297
290,ai4amp + amplify_imb + ascan2,0.5852161999468954,0.577018273754616,0.1154940128993055,289.0,312.78,0.0,0.9069534387660694,0.6753776160235884,0.6625952785553144,0.8952340226364633,0.8250412993178371,0.41456072852935766
291,amplify_imb + ascan2 + pepnet_fast,0.5844369562949345,0.5824239513976308,0.014194268551879108,292.0,306.06,0.0,0.918886156534386,0.7128266822986848,0.7035112600709704,0.8959619046959483,0.8571610722383575,0.5724702412976617
292,amPEPpy + amplify_bal + pepnet_standard,0.5843596991952615,0.5702006232743873,0.07251320754442392,301.0,318.84,0.0,0.9121290341821512,0.7107084469313758,0.7077639238875748,0.8861843470888808,0.8452648615771451,0.5882583263631987
293,apex1.1 + esm-AxP-GDL + pepnet_standard,0.5841192368055557,0.5748970081898286,0.1018012939088031,293.5,314.96,0.0,0.9656361113246201,0.8062952653767268,0.9340797918258227,0.7968564268385787,0.9457025592084266,0.6876667608110183
294,amPEPpy + amplify_imb + AMPsorter,0.5835342036591095,0.6042274220558415,0.17094386927389704,294.0,280.56,0.0,0.9178254177820886,0.7262243066371195,0.7216704524025648,0.909228703479469,0.8264557717314082,0.6274792514363615
295,ai4amp + C_AMPs-predict + macrel,0.583347683754085,0.56662021924808,0.09258891691176474,295.0,323.22,0.0,0.9296760982369001,0.7913447136702576,0.9181307397214828,0.7824745038061326,0.8841904649940096,0.6780988651699336
296,amPEPpy + esm-AxP-GDL + lstm,0.58130546563317,0.6014955764655638,0.17032704526041664,296.0,285.7,0.0,0.9708401241978999,0.678223022881644,0.6442543063285668,0.9574082733256332,0.9596513002139192,0.5190396995080732
297,amplify_imb + iampcn + macrel,0.5812465099560866,0.6017839633651144,0.1617150236698326,297.0,286.24,0.0,0.9532630642652093,0.666974116953841,0.6390937084799903,0.9571427584143697,0.9010213743073607,0.5497121929821538
298,amPEPpy + iampcn + pepnet_standard,0.5811902973274101,0.595699261667402,0.11990973220026535,298.0,293.5,0.0,0.94181589750333,0.685559460724856,0.6513139395786248,0.947725598329415,0.8775588934552894,0.5417466582084268
299,amPEPpy + HMD-AMP + pepnet_fast,0.5807887477328431,0.579403894194036,0.04186172360294105,299.0,308.26,0.0,0.922782753908597,0.7189424326571084,0.7181525219937601,0.8897011846295163,0.8579757360034088,0.6026710327830873
300,amplify_bal + lstm + pepnet_fast,0.5804066608506945,0.5739642226837419,0.06279317970588227,300.0,317.58,0.0,0.9289294839919467,0.7170798765423219,0.7174264800268274,0.8911724515943656,0.8878648231390323,0.6109423743218599
301,amplify_imb + apex1.1 + lstm,0.5802068188112746,0.5787639615206698,0.13645745872089454,301.0,312.2,0.0,0.9319893584541084,0.7928885202317236,0.8538696499416769,0.8567974684119596,0.8785725112555071,0.7384791074390544
302,ai4amp + amplify_bal + amplify_imb,0.5799804587357027,0.5726914116119282,0.05383887998468129,302.5,319.46,0.0,0.9179143641975273,0.7155600483113131,0.7159795980929968,0.8853411668513806,0.8559460409810089,0.5907587945740559
303,ai4amp + macrel + pepnet_fast,0.5796920498304738,0.5708035345000816,0.058349192966707486,303.0,320.5,0.0,0.9151608920551811,0.7456026202796439,0.7883534513600522,0.8363183229859592,0.8508179425934402,0.6356020322636283
304,apin + HMD-AMP + pepnet_fast,0.5792640865073528,0.5828880579845998,0.09700211181066176,304.0,305.68,0.0,0.9138182179199245,0.6759902751142944,0.6726330418343212,0.8847716691948064,0.8377760758882924,0.3949094697910821
305,apin + macrel + pepnet_fast,0.5785010615696488,0.5729391801351715,0.0714196487622547,315.0,320.88,0.0,0.9152125402706582,0.7230829018346784,0.7386365746585941,0.8602673876608168,0.8523451450498567,0.5408417217984525
306,amplify_bal + esm-AxP-GDL + iampcn,0.5780652960753676,0.597733168064379,0.16987529681372537,306.0,294.48,0.0,0.9791856066463556,0.6434449425624672,0.60692160591618,0.9834044249551525,0.9728936506004191,0.5326951461179864
307,amPEPpy + apin + C_AMPs-predict,0.5779987061621732,0.5665115043781455,0.07903700904769206,306.0,325.26,0.0,0.9285977210818706,0.7717128898060776,0.8408370746232542,0.8281222172517891,0.8951432903668222,0.7028927943595968
308,amplify_imb + AMPsorter + apin,0.5779848649938726,0.5988205921014707,0.13488425116217329,307.0,288.9,0.0,0.9066983988186434,0.7309872251514357,0.7393282995242361,0.881509756440841,0.8001864265969696,0.5882980772925489
